topic,mean_delta,ci_5,ci_95,p_tau_gt_c,OR_tau,OR_tau_ci_5,OR_tau_ci_95,OR_tau_unstable,OR_c,OR_c_ci_5,OR_c_ci_95,OR_c_unstable,class
flat tax,-0.0719847572783375,-0.8460077195,0.6779183735,0.4395,59.1403802402954,0.7031207427308682,206.8026521215718,True,2.860312324418357,0.9221022096748932,6.4234384882530655,False,indeterminate
free trade,-1.3447926511773645,-1.7159050695,-0.9829195335000002,0.0,1.1219230311884754,0.170823304292883,3.414119236603014,False,8.53712846586022,5.709672111694052,12.46555945064656,False,persuasiveness-only
gay marriage,-0.187512813205,-0.264289822,-0.1087643204999999,0.0,85.3589791502433,61.98679280382727,114.7693801879477,False,5.064876631664253,4.601773187625885,5.558084136532562,False,persuasiveness-driven
global warming exists,-0.92549736284075,-1.072713702,-0.7825395964999999,0.0,5.2834456513725945,2.893790281512132,8.674441826207598,False,7.38177217086526,6.148274540520337,8.822721890798249,False,persuasiveness-driven
globalization,-1.0372158676913086,-1.4531163483,-0.6330479870000001,0.0,4.404201965214048,0.5811363646236303,13.558677962874702,False,7.667210852144882,4.786083363524834,11.669264145604126,False,persuasiveness-only
gold standard,0.3200045459103275,-0.7970614949999999,1.3737479105,0.69925,523979.8699913482,131.73863206093623,349015.26199170644,True,12.211045632595278,1.902402696498941,36.73328498005159,False,jointly-driven
gun rights,-0.5048737601975,-0.6382796655,-0.374526576,0.0,7.1406620144439605,4.3175510254415705,10.802696152132354,False,4.069711047048912,3.4225593436642394,4.809357133981552,False,persuasiveness-driven
homeschooling,-0.2545120552355,-0.5244676604999999,0.0099157399999997,0.05675,14.648253559181033,4.044009208696454,34.53868829322299,False,3.209126950276129,2.3248861842461808,4.3091850230799125,False,jointly-driven
internet censorship,-0.9971442991093176,-1.19293104345,-0.8035443565000001,0.0,1.682696783218411,0.6513582981148482,3.4492915079525823,False,5.803843658307791,4.607816315295273,7.263914982220668,False,persuasiveness-only
iran-iraq war,-0.1479184349923597,-1.5973503139999998,1.2392907805,0.43275,62.10438928997607,0.0718290489945625,198.4659571700848,True,4.170481468956896,0.2580282645956216,14.895932963860744,False,indeterminate
labor union,-0.7523579400652981,-1.3884131205,-0.1445910140000003,0.01975,6.069727263968866,0.2442750879637085,24.140301395661595,False,4.934837368693835,2.151009302363739,9.600690307099704,False,persuasiveness-only
legalized prostitution,-0.1956361890399999,-0.5471789595,0.1526384614999999,0.191,324.58809145782686,40.0547671057774,1027.525880380228,False,6.802454569181804,4.5563261432757285,9.795662800822107,False,jointly-driven
medicaid & medicare,0.6705859621523309,-0.8842297764999999,2.2234891641499988,0.7545,318159.2029435142,0.6338067191362293,146431.08658477518,True,3.2536605055263936,0.2813752949020944,10.60154144951559,False,indeterminate
medical marijuana,-0.24311534633025,-0.5971856000000001,0.1062747829999998,0.1255,21.410585245077066,4.265234617530981,58.71141506714477,False,3.489190648204173,2.188743927943174,5.174835266726612,False,jointly-driven
military intervention,-0.82827276818301,-0.9725092912,-0.6874363670000001,0.0,3.409054965741971,1.7449779605048603,5.793464804828403,False,5.496805913336309,4.730794235480269,6.373298977252053,False,persuasiveness-driven
minimum wage,-0.134820593045,-0.3968872920000001,0.1247578259999998,0.1975,186.7202252392808,53.08781338669983,438.06419962818654,False,5.642617287057731,3.8950543921153566,7.833408512399025,False,jointly-driven
national health care,-0.68006499417,-0.8703701285000001,-0.4925366225000001,0.0,9.93678718576883,4.410358998639226,18.53757758511716,False,5.909026927885915,4.656164784979824,7.367731681751183,False,persuasiveness-driven
occupy movement,-0.046469289395785,-1.307370056,1.2381497608499998,0.4695,10708.62792031942,0.1711243473306932,8487.811310485014,True,5.358595628407213,0.6080734740957044,17.151224823531226,False,indeterminate
progressive tax,-0.2834650614706,-0.6679734285000001,0.1052695299999999,0.11175,38.10566111529959,4.516583289752298,120.7449956068612,False,4.184098715650848,2.550599705318419,6.525351317666831,False,jointly-driven
racial profiling,-1.0519096977930744,-1.2227317585,-0.884596311005,0.0,0.7732796053858607,0.3732642145846524,1.3262287552402658,False,5.120622379236729,4.131812167532546,6.26095480577329,False,persuasiveness-only
redistribution,-0.46850694984033,-0.938102132,-0.000970737,0.04975,22.702387147011517,1.2376954336107504,86.38614990505161,False,4.441047483013061,2.647700136456737,6.940643806784449,False,persuasiveness-driven
smoking ban,-0.28622558460825,-0.5096314135,-0.060025248,0.019,8.415063332391316,2.924708271623013,18.259559559432837,False,2.915214070652457,2.179567613727205,3.7775466582147055,False,persuasiveness-driven
social programs,-0.938344052676424,-1.15105087545,-0.7315785640000001,0.0,1.9702410571529867,0.8216819995495077,3.8227227418859,False,5.579575785380815,4.2683144605248495,7.161455952233744,False,persuasiveness-only
social security,-1.0881481289759998,-2.152512219,-0.0704411905000004,0.037,17.19099816828067,0.1069996003964846,60.50772642105678,True,11.147788427589555,2.317443732613249,30.45517264510957,False,persuasiveness-only
socialism,-0.7202526178375002,-0.9897291275,-0.4523345775000001,0.0,23.71540228435426,7.411533914475295,52.52991095752308,False,8.050256829912206,5.702867440210773,11.089435065509944,False,persuasiveness-driven
stimulus spending,-1.0183975297704926,-2.0452611115,-0.0303477215000006,0.04375,59.38842145444568,0.0075658668753954,100.1769809161638,True,5.828811012610518,2.3028030709702247,12.211017936806543,False,persuasiveness-only
term limits,0.14045643539355,-0.4364605755,0.7082130479999993,0.658,320.03506618514075,13.753212434450772,1057.2137928991688,False,3.647178926739192,1.623466007655043,7.038796046199164,False,jointly-driven
torture,-1.0038450191603692,-1.3436545131,-0.6618216497499999,0.0,1.588149444430428,0.2384329817856119,4.712426578200748,False,5.362632496341362,3.7887130081234655,7.421890103155532,False,persuasiveness-only
united nations,-0.95703075168156,-1.49877869149,-0.4215793140000003,0.0015,8.515845503509802,0.6570955211678869,28.5318360278326,False,8.0621810689302,3.903792398931761,14.501292188149662,False,persuasiveness-only
war in afghanistan,-1.50586367522106,-2.224730824,-0.8033473038500001,0.00025,0.361509271032477,0.0113334189619416,1.3469865463319255,True,7.373129945494738,2.856746253764932,15.027771906568605,False,persuasiveness-only
war on terror,-1.4299174731678508,-1.728337715528,-1.1321437695,0.0,1.3824532268134946,0.4512654329971903,2.922413418596342,False,11.246687390341078,7.371527178575206,16.415388312654486,False,persuasiveness-only
welfare,-0.781178214495,-1.010659946,-0.5639733240000001,0.0,14.19081323066986,5.103193045668463,29.2687154534738,False,7.687595168873324,5.708619009014867,10.265752070788828,False,persuasiveness-driven
